hostname,ipaddress,platform,groups
3D-R01,10.30.4.253,ios,cisco_groups
3D-EDSW01,10.30.4.251,ios,cisco_groups
3D-EDSW02,10.30.4.250,ios,cisco_groups
3D-ASW1,10.30.4.1,ios,cisco_groups
3D-ASW2,10.30.4.2,ios,cisco_groups
3D-ASW3,10.30.4.3,ios,cisco_groups
3D-ASW4,10.30.4.4,ios,cisco_groups
3D-ASW5,10.30.4.5,ios,cisco_groups
3D-ASW6,10.30.4.6,ios,cisco_groups
3D-ASW7,10.30.4.7,ios,cisco_groups
3D-ASW8,10.30.4.8,ios,cisco_groups
3D-ASW9,10.30.4.9,ios,cisco_groups
3D-ASW10,10.30.4.10,ios,cisco_groups
3D-ASW11,10.30.4.11,ios,cisco_groups
3D-ASW12,10.30.4.12 ,ios,cisco_groups
3D-ASW13,10.30.4.13,ios,cisco_groups
3D-ASW14,10.30.4.1,ios,cisco_groups
3D-ASW15,10.30.4.15,ios,cisco_groups
3D-ASW16,10.30.4.16,ios,cisco_groups
